rank,country,iso,power_index,defense_budget_usd_2026,data_year,source,defense_budget_usd_billion,Active_Personnel,Reserve_Personnel,Paramilitary_Personnel,Tanks,Armored_Fighting_Vehicles,Total_Aircraft,Naval_Fleet_Ships,Total_Naval_Fleet,Aircraft_Carriers,Submarines,Destroyers,Frigates,Total_Aircraft,Fighter_Interceptor_Aircraft,Transport_Aircraft,Helicopters,Attack_Helicopters,Fighter_Share_of_Total_%,Helicopter_Share_of_Total_%,Attack_Helicopter_Share_of_Helicopters_%,Transport_Share_of_Total_%,Total_Manpower_Active,Tanks,Armored_Fighting_Vehicles,Self_Propelled_Artillery,Towed_Artillery,Rocket_Projectors_MLRS
13,Indonesia,INO,0.2582,11155297716,2026,Global Firepower,11.15529772,404500,401000,250000,331,28064,460,338,338,0,4,0,10,460,41,73,212,15,8.91,46.09,7.08,15.87,404500,331,28064,153,396,67
14,Pakistan,PAK,0.2626,9102115350,2026,Global Firepower,9.10211535,660000,550000,500000,2677,59044,1397,120,120,0,8,0,9,1397,331,63,379,55,23.69,27.13,14.51,4.51,660000,2677,59044,662,2629,652
15,Israel,ISR,0.2707,34600000000,2026,Global Firepower,34.6,169500,465000,35000,1300,62380,597,82,82,0,6,0,0,597,239,14,127,48,40.03,21.27,37.8,2.35,169500,1300,62380,323,171,228
16,Iran,IRN,0.3199,9230000000,2026,Global Firepower,9.23,610000,350000,220000,2675,75939,551,109,109,0,25,0,7,551,188,86,129,13,34.12,23.41,10.08,15.61,610000,2675,75939,424,1803,1550
17,Australia,AUS,0.3208,57350000000,2026,Global Firepower,57.35,58910,33270,0,46,17118,348,45,45,0,6,3,7,348,24,37,72,22,6.9,20.69,30.56,10.63,58910,46,17118,,48,8
18,Spain,SPN,0.3247,39000676350,2026,Global Firepower,39.00067635,121802,24033,78470,298,49324,440,175,175,1,2,0,11,440,136,51,169,17,30.91,38.41,10.06,11.59,121802,298,49324,96,188,
19,Egypt,EGY,0.3651,5193500000,2026,Global Firepower,5.1935,438500,479000,300000,3620,54694,1088,149,149,0,8,0,13,1088,242,53,348,100,22.24,31.99,28.74,4.87,438500,3620,54694,1056,962,648
20,Ukraine,UKR,0.3691,45000000000,2026,Global Firepower,45,900000,4000000,100000,1121,45458,347,169,169,0,0,0,0,347,88,22,140,39,25.36,40.35,27.86,6.34,900000,1121,45458,682,625,288
21,Poland,POL,0.3891,55865141600,2026,Global Firepower,55.8651416,250000,350000,50000,798,57972,457,63,63,0,1,0,2,457,58,44,224,29,12.69,49.02,12.95,9.63,250000,798,57972,593,,298
22,Taiwan,TWN,0.3927,31180000000,2026,Global Firepower,31.18,230000,1657000,55000,1090,24067,720,91,91,0,4,4,21,720,258,19,239,91,35.83,33.19,38.08,2.64,230000,1090,24067,488,1360,223
23,Vietnam,VET,0.4066,10200000000,2026,Global Firepower,10.2,450000,5000000,250000,1999,69914,265,116,116,0,6,0,9,265,61,6,101,0,23.02,38.11,0,2.26,450000,1999,69914,30,3250,774
24,Thailand,THL,0.4458,6006660000,2026,Global Firepower,6.00666,360850,200000,25000,744,52590,496,304,304,0,0,0,7,496,73,52,258,7,14.72,52.02,2.71,10.48,360850,744,52590,59,595,17
25,Saudi Arabia,SAR,0.4473,63988055520,2026,Global Firepower,63.98805552,247000,0,150000,1085,22370,917,32,32,0,0,0,7,917,283,49,264,34,30.86,28.79,12.88,5.34,247000,1085,22370,380,557,327
26,Sweden,SWE,0.4834,15900000000,2026,Global Firepower,15.9,25600,34000,104400,110,27576,172,279,279,0,4,0,0,172,73,6,53,0,42.44,30.81,0,3.49,25600,110,27576,24,,
27,Algeria,ALG,0.4849,25000000000,2026,Global Firepower,25,130000,150000,150000,1485,24920,620,111,111,0,6,0,8,620,111,63,300,74,17.9,48.39,24.67,10.16,130000,1485,24920,224,483,188
28,Canada,CAN,0.5269,45824959620,2026,Global Firepower,45.82495962,63500,23000,5500,74,21780,354,67,67,0,4,0,12,354,66,29,146,0,18.64,41.24,0,8.19,63500,74,21780,,,
29,Singapore,SNG,0.5272,18000000000,2026,Global Firepower,18,51000,252500,12000,170,17244,235,101,101,0,6,0,6,235,100,9,75,20,42.55,31.91,26.67,3.83,51000,170,17244,48,89,24
30,Greece,GRE,0.5484,8242150000,2026,Global Firepower,8.24215,142700,221350,55000,1344,56416,560,186,186,0,9,0,14,560,178,17,285,28,31.79,50.89,9.82,3.04,142700,1344,56416,589,698,152
31,North Korea,NKO,0.5933,4750000000,2026,Global Firepower,4.75,1320000,560000,100000,4895,47792,837,332,332,0,24,2,2,837,341,1,205,20,40.74,24.49,9.76,0.12,1320000,4895,47792,1300,700,1500
32,Argentina,ARG,0.5983,993919790,2026,Global Firepower,0.99391979,108000,12370,20000,362,22432,241,42,42,0,2,3,0,241,23,25,96,0,9.54,39.83,0,10.37,108000,362,22432,20,172,27
33,Nigeria,NGA,0.6097,3900000000,2026,Global Firepower,3.9,230000,0,50000,330,12219,159,152,152,0,0,0,1,159,14,12,69,15,8.81,43.4,21.74,7.55,230000,330,12219,40,339,37
34,Netherlands,NTH,0.6142,31791150000,2026,Global Firepower,31.79115,44245,8510,5000,18,6689,130,140,140,0,3,0,6,130,0,4,67,16,0,51.54,23.88,3.08,44245,18,6689,46,,4
35,Myanmar,MYA,0.6265,2815031361,2026,Global Firepower,2.815031361,228000,19000,55000,1040,11576,331,239,239,0,3,0,6,331,70,33,86,9,21.15,25.98,10.47,9.97,228000,1040,11576,225,1680,1520
36,Mexico,MEX,0.6401,9100000000,2026,Global Firepower,9.1,387000,98653,120000,0,23548,424,164,164,0,0,0,1,424,2,40,173,0,0.47,40.8,0,9.43,387000,0,23548,35,,
37,Bangladesh,BNG,0.6517,3340000000,2026,Global Firepower,3.34,204000,0,6800000,320,11584,212,121,121,0,2,0,7,212,41,17,67,0,19.34,31.6,0,8.02,204000,320,11584,36,487,103
